DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
72,9.118022000000002
308,3.4382650000000003
248,6.647302
110,1.71599
125,4.20225
128,4.20225
133,5.25128
65,12.152481
78,4.06802
115,5.833768999999999
15,11.29531
81,4.06802
114,0.851688
79,4.06802
2,3.00336
111,865.898689
97,4.06802
200,6.98733
14,9.110485
129,4.20225
127,4.20225
16,44.563924000000014
100,4.06802
247,5.782651
107,4.06802
104,4.06802
10,4.20225
26,4.20225
102,4.06802
309,21.925736000000004
86,4.06802
123,4.20225
108,4.06802
312,4.20225
85,4.06802
310,12.627860000000002
126,4.20225
132,4.20225
313,20.866587000000003
124,4.20225
93,4.06802
83,4.20225
101,4.06802
84,4.06802
92,4.06802
90,4.06802
96,4.06802
87,4.06802
3,3.00336
117,4.06802
89,4.06802
9,4.20225
98,4.06802
77,4.06802
1,4.20225
249,5.782651
76,4.06802
106,4.06802
109,4.06802
88,4.06802
246,4.20225
