DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
85,5.27731
89,5.27731
16,37.200685
26,0.378407
76,5.27731
128,0.378407
110,0.668084
2,17.82415
102,5.27731
114,0.375797
127,0.378407
65,2.3738479999999997
79,5.27731
101,5.27731
246,0.378407
109,5.27731
126,0.378407
249,0.378407
104,5.27731
96,5.27731
93,5.27731
100,5.27731
81,5.27731
124,0.378407
133,0.87434
125,0.378407
117,5.27731
132,0.378407
3,17.82415
115,14.48414
98,5.27731
92,5.27731
86,5.27731
78,5.27731
129,0.378407
312,0.378407
107,5.27731
87,5.27731
14,2.4623720000000002
309,10.5016727
108,5.27731
83,0.378407
200,1164.568
308,0.8853249999999999
111,440.37843100000015
84,5.27731
97,5.27731
90,5.27731
106,5.27731
15,1.885827
1,0.378407
9,0.378407
88,5.27731
248,0.378407
123,0.378407
72,4.0309099999999995
247,0.378407
77,5.27731
10,0.378407
313,11.55566
310,0.9466140000000001
