Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold00019	nosZ	SAR324; SAR324	SAR324; SAR324	2.60719	1.0	0.0
scaffold00048	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	2.99413	0.999148	0.0
scaffold00053	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	1.59248	0.994404	0.0
scaffold00408	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	184.226	1.0	0.0
scaffold01142	nosZ	GAMMA; GAMMA	GAMMA; GAMMA	6.52234	1.0	0.0
scaffold111923	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; DSM	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	7.25891	0.501455	0.0
scaffold124052	nosZ	SUP05; SUP05	SUP05; SUP05	121.96	1.0	0.0
scaffold131367	nosZ	SUP05; SUP05	SUP05; SUP05	4.36548	1.0	0.0
scaffold133910	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	1.0	0.0
scaffold154789	nosZ	SUP05; SUP05	SUP05; SUP05	129.304	1.0	0.0
scaffold165599	nosZ	SAR324; SAR324	SAR324; SAR324	0	0.628998	0.0
scaffold166174	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Robiginitalea; biformata	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Robiginitalea	0.0923143	0.873539	0.0
scaffold177032	nosZ	SAR324; SAR324	SAR324; SAR324	0.0963372	1.0	0.0
scaffold18604	nosZ	SUP05; SUP05	SUP05; SUP05	111.65	1.0	0.0
scaffold190021	nosZ	SAR324; SAR324	SAR324; SAR324	0.30218	1.0	0.0
scaffold229366	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.82896	0.0
scaffold234150	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	0.75212	1.0	0.0
scaffold278184	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	1.10193	1.0	0.0
scaffold297785	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	1.42729	1.0	0.0
scaffold30664	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; DSM	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	0.827918	0.999987	0.0
scaffold306912	nosZ	SAR324; SAR324	SAR324; SAR324	0	1.0	0.0
scaffold325171	nosZ	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	0.577361	0.711775	0.28125
scaffold330079	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	0.145844	0.4464	0.0
scaffold331353	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	1.16675	0.373111	0.0
scaffold338805	nosZ	SAR324; SAR324	SAR324; SAR324	0	1.0	0.0
scaffold402611	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	3.40341	1.0	0.0
scaffold428110	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0.086426	0.999818	0.0
scaffold439199	nosZ	SUP05; SUP05	SUP05; SUP05	21.0015	1.0	0.0
scaffold54847	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Robiginitalea; biformata	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Robiginitalea	0.379165	0.744492	0.0
scaffold55750	nosZ	Bacteria; Aquificae; Aquificae; Aquificales	Bacteria; Aquificae; Aquificae; Aquificales	0.938139	0.373501	0.0625
scaffold60802	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	0.0908174	0.955196	0.0
scaffold73772	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	0.628474	0.990982	0.0
scaffold94486	nosZ	SUP05; SUP05	SUP05; SUP05	38.9403	1.0	0.0
scaffold96737	nosZ	Bacteria; Spirochaetes; Spirochaetia; Leptospirales; Leptospiraceae; Leptospira; 1	Bacteria; Spirochaetes; Spirochaetia; Leptospirales; Leptospiraceae; Leptospira	0.127089	0.866121	0.0
scaffold00061	napA	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae	0	0.436432	0.0
